year:period,Value,appartments,prev_q_app_permit,App_transactions,lvl_app,next_q_lvl_app
2012:Q2,3.33,8977.0,10115.0,4520.0,-3.4090909090909065,1.882352941176464
2012:Q3,2.6133333333333333,7546.0,8977.0,4297.0,1.882352941176464,1.1547344110854425
2012:Q4,2.276666666666667,7209.0,7546.0,4816.0,1.1547344110854425,0.0
2013:Q1,2.34,9120.0,7209.0,4243.0,0.0,0.4566210045662018
2013:Q2,2.18,8756.0,9120.0,4567.0,0.4566210045662018,0.0
2013:Q3,2.6466666666666665,8375.0,8756.0,4414.0,0.0,2.039090909090916
2013:Q4,2.473333333333333,9244.0,8375.0,4223.0,2.039090909090916,0.22896750799603183
2014:Q1,2.37,14707.0,9244.0,3999.0,0.22896750799603183,0.0
2014:Q2,1.9933333333333332,12260.0,14707.0,4734.0,0.0,0.0
2014:Q3,1.4366666666666663,6079.0,12260.0,4327.0,0.0,-4.444444444444443
2014:Q4,1.0533333333333337,7101.0,6079.0,7005.0,-4.444444444444443,10.232558139534873
2015:Q1,0.6166666666666666,7994.0,7101.0,3424.0,10.232558139534873,-5.063291139240505
2015:Q2,0.8300000000000001,8419.0,7994.0,4500.0,-5.063291139240505,1.1111111111111143
2015:Q3,1.0533333333333337,8679.0,8419.0,4245.0,1.1111111111111143,3.2967032967033134
2015:Q4,0.86,8180.0,8679.0,4906.0,3.2967032967033134,-2.1276595744680833
2016:Q1,0.7333333333333334,12275.0,8180.0,4223.0,-2.1276595744680833,0.0
2016:Q2,0.51,12595.0,12275.0,5318.0,0.0,0.4347826086956559
2016:Q3,0.17666666666666667,7895.0,12595.0,5178.0,0.4347826086956559,1.7316017316017422
2016:Q4,0.4833333333333333,6776.0,7895.0,5682.0,1.7316017316017422,2.1276595744680833
2017:Q1,0.8133333333333334,8292.0,6776.0,5090.0,2.1276595744680833,0.0
2017:Q2,0.7233333333333333,10228.0,8292.0,5635.0,0.0,1.2083333333333286
2017:Q3,0.7533333333333333,7317.0,10228.0,4860.0,1.2083333333333286,0.8645533141210251
2017:Q4,0.6,11548.0,7317.0,5567.0,0.8645533141210251,0.0
2018:Q1,0.8466666666666667,13607.0,11548.0,5169.0,0.0,0.0
2018:Q2,0.81,16203.0,13607.0,5351.0,0.0,0.0
2018:Q3,0.7200000000000001,8961.0,16203.0,5576.0,0.0,2.040816326530617
2018:Q4,0.8033333333333333,10719.0,8961.0,6464.0,2.040816326530617,0.0
2019:Q1,0.6666666666666666,9907.0,10719.0,5646.0,0.0,2.0
2019:Q2,0.3433333333333333,10658.0,9907.0,6374.0,2.0,1.17647058823529
2019:Q3,-0.17333333333333334,11570.0,10658.0,6101.0,1.17647058823529,-0.38759689922480334
2019:Q4,-0.06333333333333334,10764.0,11570.0,9117.0,-0.38759689922480334,7.003891050583661
2020:Q1,-0.06,11424.0,10764.0,4231.0,7.003891050583661,-2.181818181818187
2020:Q2,0.04666666666666667,9707.0,11424.0,5427.0,-2.181818181818187,0.7434944237918302
2020:Q3,-0.21,10308.0,9707.0,5616.0,0.7434944237918302,2.9520295202952127
